Designator,Mid X,Mid Y,Rotation,Layer
C1,3.2512,41.2496,90.0,bottom
C10,7.62,94.9452,90.0,bottom
C11,2.7432,102.0572,90.0,bottom
C12,8.5852,79.9084,270.0,bottom
C13,4.4196,76.8096,0.0,bottom
C14,3.81,50.4444,180.0,bottom
C2,7.523,41.382,90.0,bottom
C3,8.2088,6.2792,90.0,bottom
C4,8.2088,15.0422,90.0,bottom
C5,8.001,10.668,270.0,bottom
C6,8.0818,19.4364,90.0,bottom
C7,2.316,68.687,90.0,bottom
C8,7.112,70.104,90.0,bottom
C9,2.286,96.3168,90.0,bottom
D1,2.6416,4.8768,0.0,bottom
D2,2.6416,20.9804,180.0,bottom
J1,5.03,97.142,180.0,top
J2,5.03,71.107,180.0,top
J3,5.03,97.1226,0.0,top
J4,5.03,71.093,0.0,top
J5,5.03,44.056,180.0,top
J6,4.48,18.1814,0.0,bottom
J7,2.4892,105.9688,270.0,bottom
J8,3.805,2.159,90.0,top
R1,8.6868,100.9396,90.0,bottom
R10,7.366,30.226,180.0,bottom
R11,4.1148,53.4416,0.0,bottom
R12,9.0424,54.1528,90.0,bottom
R13,3.048,29.3624,270.0,bottom
R14,4.826,29.3116,90.0,bottom
R2,7.9756,85.1916,270.0,bottom
R3,7.9248,76.3524,90.0,bottom
R4,2.3876,83.2593,270.0,bottom
R5,4.1656,80.01,180.0,bottom
R6,7.5184,58.6232,90.0,bottom
R7,1.1684,102.0572,270.0,bottom
R8,7.0104,79.9084,90.0,bottom
R9,7.4168,54.1528,270.0,bottom
RV1,2.4892,26.416,90.0,top
U1,4.983,90.023,0.0,bottom
U2,4.6228,63.754,0.0,bottom
U3,4.983,36.683,0.0,bottom
