Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C5, C6, C7, C8, C9",0603,8,100n,C14663
"C11, C12",0603,2,47p,C1671
"C13, C14, C3, C4",1206,4,10u,C13585
"D1, D2",D_SOD-323,2,1N5819WS,C191023
J1,3.5mm_tip_switch_thonkiconn,1,IN_L1,
J2,3.5mm_tip_switch_thonkiconn,1,IN_L2,
J3,3.5mm_tip_switch_thonkiconn,1,IN_R1,
J4,3.5mm_tip_switch_thonkiconn,1,IN_R2,
J5,3.5mm_tip_switch_thonkiconn,1,OUT_LR,
J6,PinHeader_2x05_P2.54mm_Vertical,1,Eurorack Power,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Female,
"R1, R2, R5, R6",0603,4,100k,C25803
"R10, R3, R4, R9",0603,4,10k,C25804 
"R11, R12, R13, R14",0603,4,47,C23182
"R15, R16",0603,2,200k,C25811
"R7, R8",0603,2,43k,C23172
RV1,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,A100K,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,C6961
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,NE5532,C7426
